147	19	A Fish Called Selma	1708	http://simpsons.wikia.com/wiki/A_Fish_Called_Selma
148	20	Bart on the Road	4240	http://simpsons.wikia.com/wiki/Bart_on_the_Road
149	21	22 Short Films About Springfield	1707	http://simpsons.wikia.com/wiki/22_Short_Films_About_Springfield
150	22	Raging Abe Simpson and His Grumbling Grandson in The Curse of the Flying Hellfish	4428	http://simpsons.wikia.com/wiki/Raging_Abe_Simpson_and_His_Grumbling_Grandson_in_%22The_Curse_of_the_Flying_Hellfish%22
151	23	Much Apu About Nothing	3366	http://simpsons.wikia.com/wiki/Much_Apu_About_Nothing
152	24	Homerpalooza	3720	http://simpsons.wikia.com/wiki/Homerpalooza
153	25	Summer of 4 Ft. 2	2370	http://simpsons.wikia.com/wiki/Summer_of_4_Ft._2_2
154	1	Treehouse of Horror VII	2562	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_VII
155	2	You Only Move Twice	2530	http://simpsons.wikia.com/wiki/You_Only_Move_Twice
156	3	The Homer They Fall	2487	http://simpsons.wikia.com/wiki/The_Homer_They_Fall
157	4	Burns, Baby Burns	2657	http://simpsons.wikia.com/wiki/Burns,_Baby_Burns
158	5	Bart After Dark	2578	http://simpsons.wikia.com/wiki/Bart_After_Dark
159	6	A Milhouse Divided	4241	http://simpsons.wikia.com/wiki/A_Milhouse_Divided
160	7	Lisa's Date with Density	2658	http://simpsons.wikia.com/wiki/Lisa%27s_Date_with_Density
161	8	Hurricane Neddy	2995	http://simpsons.wikia.com/wiki/Hurricane_Neddy
162	9	El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)	4841	http://simpsons.wikia.com/wiki/El_Viaje_Misterioso_de_Nuestro_Jomer_(The_Mysterious_Voyage_of_Homer)
163	10	The Springfield Files	2561	http://simpsons.wikia.com/wiki/The_Springfield_Files
164	11	The Twisted World of Marge Simpson	4846	http://simpsons.wikia.com/wiki/The_Twisted_World_of_Marge_Simpson
165	12	Mountain of Madness	4842	http://simpsons.wikia.com/wiki/Mountain_of_Madness
166	13	Simpsoncalifragilisticexpiala(Annoyed Grunt)cious	2267	http://simpsons.wikia.com/wiki/Simpsoncalifragilisticexpiala(Annoyed_Grunt)cious
167	14	The Itchy & Scratchy & Poochie Show	2254	http://simpsons.wikia.com/wiki/The_Itchy_%26_Scratchy_%26_Poochie_Show
168	15	Homer's Phobia	3717	http://simpsons.wikia.com/wiki/Homer%27s_Phobia
169	16	Brother from Another Series	4843	http://simpsons.wikia.com/wiki/Brother_from_Another_Series
170	17	My Sister, My Sitter	3895	http://simpsons.wikia.com/wiki/My_Sister,_My_Sitter
171	18	Homer vs. the Eighteenth Amendment	2677	http://simpsons.wikia.com/wiki/Homer_vs._the_Eighteenth_Amendment
172	19	Grade School Confidential	4844	http://simpsons.wikia.com/wiki/Grade_School_Confidential
173	20	The Canine Mutiny	4847	http://simpsons.wikia.com/wiki/The_Canine_Mutiny
174	21	The Old Man and the Lisa	4848	http://simpsons.wikia.com/wiki/The_Old_Man_and_the_Lisa
175	22	In Marge We Trust	4845	http://simpsons.wikia.com/wiki/In_Marge_We_Trust
176	23	Homer's Enemy	2553	http://simpsons.wikia.com/wiki/Homer%27s_Enemy
177	24	The Simpsons Spin-Off Showcase	2278	http://simpsons.wikia.com/wiki/The_Simpsons_Spin-Off_Showcase
178	25	The Secret War of Lisa Simpson	4296	http://simpsons.wikia.com/wiki/The_Secret_War_of_Lisa_Simpson
179	1	The City of New York vs. Homer Simpson	2283	http://simpsons.wikia.com/wiki/The_City_of_New_York_vs._Homer_Simpson
180	2	The Principal and the Pauper	2307	http://simpsons.wikia.com/wiki/The_Principal_and_the_Pauper
181	3	Lisa's Sax	4159	http://simpsons.wikia.com/wiki/Lisa%27s_Sax
182	4	Treehouse of Horror VIII	3378	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_VIII
183	5	The Cartridge Family	4160	http://simpsons.wikia.com/wiki/The_Cartridge_Family
184	6	Bart Star	4161	http://simpsons.wikia.com/wiki/Bart_Star
185	7	The Two Mrs. Nahasapeemapetilons	2477	http://simpsons.wikia.com/wiki/The_Two_Mrs._Nahasapeemapetilons
186	8	Lisa the Skeptic	3899	http://simpsons.wikia.com/wiki/Lisa_the_Skeptic
187	9	Realty Bites	2542	http://simpsons.wikia.com/wiki/Realty_Bites
188	10	Miracle on Evergreen Terrace	4162	http://simpsons.wikia.com/wiki/Miracle_on_Evergreen_Terrace
189	11	All Singing, All Dancing	3866	http://simpsons.wikia.com/wiki/All_Singing,_All_Dancing
190	12	Bart Carny	3377	http://simpsons.wikia.com/wiki/Bart_Carny
191	13	The Joy of Sect	4164	http://simpsons.wikia.com/wiki/The_Joy_of_Sect
192	14	Das Bus	2079	http://simpsons.wikia.com/wiki/Das_Bus
193	15	The Last Temptation of Krust	4165	http://simpsons.wikia.com/wiki/The_Last_Temptation_of_Krust
194	16	Dumbbell Indemnity	4166	http://simpsons.wikia.com/wiki/Dumbbell_Indemnity
195	17	Lisa the Simpson	2055	http://simpsons.wikia.com/wiki/Lisa_the_Simpson
196	18	This Little Wiggy	3588	http://simpsons.wikia.com/wiki/This_Little_Wiggy
197	19	Simpson Tide	3066	http://simpsons.wikia.com/wiki/Simpson_Tide
198	20	The Trouble with Trillions	3305	http://simpsons.wikia.com/wiki/The_Trouble_with_Trillions
199	21	Girly Edition	3386	http://simpsons.wikia.com/wiki/Girly_Edition
